メンバーコード,ログインコード,メンバー名,力量タイプ  ###[competence_type]###,力量コード,力量名,レベル,取得日  ###[acquired_date]###,有効期限  ###[expiration_date]###,備考  ###[remarks]###,文書番号,作成日,更新日,保有力量コード  ###[member_acquired_competence_level_code]###
C3U3sRvZZdQa3Xh3JwNN,55555,宮崎 敏郎,SKILL,nintei-s0,設備A取扱,2,2025/08/23,,,,2025/08/23 15:45:10,2025/08/23 15:45:10,IZ2wa3bgEKzFvapCpVlC
eneos,eneos,スキルノート太郎,EDUCATION,HqGDsguKkD3e9mQymvTm,品質管理基礎,●,2022/09/26,,ああああ,,2025/09/19 18:17:51,2025/09/19 18:17:51,PxjwpkVJTUy0lkhGCuf9
m1,m1,山田 和弘,SKILL,kakou1,素材切断,4,2025/10/16,2026/10/31,,,2025/10/16 14:19:22,2025/10/16 14:19:22,Mv5rjBK7PHrOgkG6lCFw
m1,m1,山田 和弘,SKILL,kakou2,荒加工,4,2021/12/24,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,tPf8hfgDdREhljvPJpqR
m1,m1,山田 和弘,SKILL,kakou3,追加工,3,2025/06/09,,,,2025/06/09 14:45:04,2025/06/09 14:45:04,h125vzkgDjxM3JIr2rUg
m1,m1,山田 和弘,SKILL,kakou4,外面研削,3,2025/06/09,,,,2025/06/09 14:45:04,2025/06/09 14:45:04,uNXBWk5VZ4ToASEiTXCC
m1,m1,山田 和弘,SKILL,kakou5,平削り,4,2022/09/28,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,0CjcsEv3MXPTnIDF1cwk
m1,m1,山田 和弘,SKILL,kakou6,研磨,4,2025/06/05,,,,2025/06/05 13:51:08,2025/06/05 13:51:08,hwEODNMTT4JL5NEXqxJ9
m1,m1,山田 和弘,SKILL,kakou7,特殊品加工,2,2024/04/30,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,oKJ8RkjSoCa14a8R6EtH
m1,m1,山田 和弘,SKILL,kakou8,加工プログラム作成,4,2021/12/17,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,YFOLS5tnalXq4S70mce4
m1,m1,山田 和弘,SKILL,kakou9,砥石交換,4,2022/07/04,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,pQJCkPPR6sj5juwoYTAk
m1,m1,山田 和弘,SKILL,kensa1,硬度検査,4,2020/10/19,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,1Bsv36L88xhMiQScPjIm
m1,m1,山田 和弘,SKILL,kensa2,曲がり検査,4,2019/12/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,Wfqr6fhQwAnF8SIFYLNx
m1,m1,山田 和弘,SKILL,kensa3,内径ゲージ検査,4,2019/11/08,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,qZdiwCVhYQjk2Jx9PYsu
m1,m1,山田 和弘,SKILL,kensa4,精度検査,4,2020/06/12,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,scxTeb5wSPLVRrZMiQlt
m1,m1,山田 和弘,SKILL,kensa5,オイル封入,4,2025/01/23,,,,2025/01/23 11:35:04,2025/01/23 11:35:04,ra1553H5OOqOdwpn9EPD
m1,m1,山田 和弘,SKILL,kensa6,測定技術,4,2018/11/23,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,WCPmuohykErS6Qfjd4FJ
m1,m1,山田 和弘,SKILL,kumitate1,型番変更,4,2021/10/29,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,s5TI4jFPutWNBO2S4Q6g
m1,m1,山田 和弘,SKILL,kumitate10,再洗浄,4,2019/01/14,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,z2bhi2KPWXj8G9xa7EGy
m1,m1,山田 和弘,SKILL,kumitate11,AX組立特殊作業,4,2015/01/23,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,BVKZD76k9aWbhn03Ok6k
m1,m1,山田 和弘,SKILL,kumitate12,CXドライバー設定作業,4,2018/12/28,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,Npp19Ct785pB8q1XukKZ
m1,m1,山田 和弘,SKILL,kumitate13,装置動作確認,4,2016/02/25,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,d7HRL1gQvf57pYbNHdsr
m1,m1,山田 和弘,SKILL,kumitate2,ワーク脱着,4,2019/11/08,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,jUY8o7UjBpntd45WQgzD
m1,m1,山田 和弘,SKILL,kumitate3,部材取付け,4,2020/11/20,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,b7N7m7aQLscFCgxwQ44n
m1,m1,山田 和弘,SKILL,kumitate4,精度測定,4,2017/12/21,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,Q0rxanKwcxTeoqzxitry
m1,m1,山田 和弘,SKILL,kumitate5,穴埋め,4,2018/01/29,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,xEdf6ytprmNKqCMottLg
m1,m1,山田 和弘,SKILL,kumitate6,マッチング作業,4,2018/01/26,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,beBYBHXyLIicVmZF6JHq
m1,m1,山田 和弘,SKILL,kumitate7,組立前洗浄,4,2018/10/29,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,WlCl8iJksnmQswvgWqNW
m1,m1,山田 和弘,SKILL,kumitate8,レーザーマーキング,3,2020/10/23,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,aPIp0IK5NxPvP3zd17Xn
m1,m1,山田 和弘,SKILL,kumitate9,ABC調整組立,4,2021/10/08,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,AdJM2BDC2Ur9sasYAwOJ
m1,m1,山田 和弘,SKILL,nintei-s2,設備A不具合対応,1,2025/09/12,,,,2025/09/12 14:26:40,2025/09/12 14:26:40,xE1w0lxqjrb6ERc8PZ9u
m1,m1,山田 和弘,SKILL,seizoubu1,図面の読み取り,1,2025/09/04,,,,2025/09/04 09:03:00,2025/09/04 09:03:00,9Y7YTWT9zckRLYsQD7JS
m1,m1,山田 和弘,SKILL,seizoubu2,測定器の取扱い,4,2025/09/25,,,,2025/09/25 09:25:03,2025/09/25 09:25:03,oQQgXYa45dhzU1wDBiCJ
